"eid","is_boss","name","description","health","attack","attack_damage","weakness","other_features","e_rank"
3000,"N","Small Goomba","small mushroom minion","1","Charges at Mario",1,"","",80
3001,"N","Goomba","brown mushroom minion","2","Charges at Mario",1,"","1 hit to spin them, 1 hit to boot them or stomp on them",78
3002,"N","Octoomba","blue octopus-like minion","1","Shoots Rocks at Mario",1,"","",64
3003,"N","Paragoomba","Flying Goomba","2","Floats up and down, left and right in Mario's way",1,"","1 hit to get rid of their wings, 1 hit to boot them after or stomp on them",79
3004,"Y","Peewee Piranha","smaller form of Dino Piranha with the egg on its butt","4","Running quickly into Mario",1,"Groundpound the Egg","gets angry and runs faster after Mario destroys the egg once, time limit to defeat it the second time",0
3005,"N","Piranha Plant","plant with a piranha head","1","Reaches out and bites Mario",1,"","",69
3006,"N","Magikoopa","koopa troopa with a hood and wand","1","Blasts enemies/magic at Mario",1,"","can create small goombas and Li'l Cinders to go after Mario",50
3007,"N","Scaredy Bug","brown bug that is scared of Mario","2","Stings Mario",1,"","fly away from Mario normally but attack Mario while he has the Bee Powerup",81
3008,"N","Smeech","flying Pink ball with huge lips","1","Smooches Mario",0,"Hop off Yoshi and it will fly away from you","Goes toward Mario and Yoshi usually until it smooches, can only be shaken off by spinning it",88
3009,"N","Spangler","Spider on a vertical string","2","Swings toward Mario",1,"","1 hit to spin them, 1 hit to boot them or stomp on them",68
3010,"N","Spiny","Koopa with a spiky red top","??","Charges at Mario",1,"Easily eaten with Yoshi","thrown by Lakitus",28
3011,"N","Lakitu","Turtle on a Cloud","2","Throws Spinies at Mario",1,"vulnerable without his cloud","Move pretty sporatically but can easily be taken down with Yoshi",30
3012,"Y","Giga Lakitu","giant Lakitu throwing multiple Spinies at once ","3","Throwing spinies, electricity",1,"throws Spinies at the same spot initially and moves lightning in the same line","moves a lot faster after the 2nd hit",0
3013,"N","Chain Chomp","giant rolling black ball with teeth","??","Rolls into Mario",1,"two Chain Chomps can destroy each other","sometimes roll out of Chain Chomp stations",11
3014,"N","Digga","little yellow spin drill on the ground","1","Digs into Mario",1,"always travel in the same direction","",58
3015,"N","Twirlip","white tulip with eyes that spins around","1","Twirls into Mario",1,"Easily stomped on whether spinning or not","spin around in circles",59
3016,"Y","Digga-Leg","Giant Digga with legs and a cage with the star under it","3","Hops around the planet 2 or 3 times in different directions, sends out Diggas directly across from it",1,"Pauses after throwing Diggas and bouncing around a few times, only 1 hit point to defeat it the 2nd time","",0
3017,"N","Swaphopper","robotic bug with eyes and a spike on top and soft belly","1","Spikes mario, hops into Mario",1,"its soft underbelly is easily stomped on","spike and soft belly can swap being on top",56
3018,"N","Spiny Piranha Plant","giant, purple, and spiky Piranha Plant","1","Reaches out and bites Mario",1,"very slow bites to expose their head easily","",41
3019,"N","Thwomp","giant, tall and grey block with a mean face moving up and down","??","Squishes Mario",3,"","can only avoid it",4
3020,"N","Flaptack","giant, pill shaped bird with a spike on its head","1","targets Mario with its spike",1,"its soft underbelly is easily stomped on","floats around high above Mario then targets him when he gets close",62
3021,"N","Elite Octoomba","green form of Octoomba","1","Shoots 2 Rocks at Mario",2,"","shoots one rock then can shoot another one in another direction",45
3022,"N","Cosmic Clone","dark red clones of Mario","??","Runs into Mario",1,"","copies Mario's every move",18
3023,"N","Astro Goomba","Goomba with a metal head","2","Charges at Mario",1,"","1 hit to spin them, 1 hit to boot them",70
3024,"N","Dry Bones","Bone form of Koopa Troopa","??","Charges at Mario",1,"Invincibility destroys them instantly","spinning or bouncing on them knocks them down but they can get back up",34
3025,"Y","Gobblegut","Giant moving dragon with 6 bellyache bulges","6","Goes into the ground where Mario stands",1,"moves slower and goes after Mario less before you destroy 3 of its bellyache bulges","time limit to defeat it the 2nd time",0
3026,"N","Wiggler","yellow caterpillar","2","Charges at Mario",1,"groundpound its back","gets red and angry when Mario hops on its back",65
3027,"N","Blue Men","little blue ball with eyes that hops around","1","Latches onto Mario",1,"","",82
3028,"N","Mandibug","flat, purple bug with eyes and a huge ground pound symbol on the back","1","Charges at Mario",1,"groundpound its back ","when Mario stands on them for awhile he gets knocked off",60
3029,"Y","Mandibug Stack","Stack of a normal mandibug and a baby mandibug","2","Charges at Mario",1,"","Moves faster after the first ground pound",0
3030,"N","Bowling Pins","10 bowling pins with eyes in the normal formation","1","None",0,"","Hides when Mario gets too close",92
3031,"N","Octoguy","pink octopus+goomba like creature","1","Shoots Rocks at Mario",1,"","backs up when Mario gets too close",63
3032,"Y","Rollodillo","Giant armadillo monster","4","Rolls to crush Mario and turns around quickly",1,"Rolls in one direction so you can easily sidestep its attacks","After rolling and turning around once or twice it gets dizzy for about 5 seconds",0
3033,"N","Choppa","floating green butterfly monster with a spike on its head","1","Floats in Mario's way, spikes Mario",1,"Easily eaten with Yoshi","floats back and forth or up in down slowly",52
3034,"N","Fuzzy","floating black spiked ball with crazy eyes","??","Spikes mario  ",1,"Spin Drill Powerup","travels in a defined path or with other fuzzies in a line",21
3035,"N","Koopa Troopa","small turtle minion","2","Runs into Mario",1,"hides in its shell and becomes useless","can throw the shell when it hides",76
3036,"N","Snoodle","tall noodle monster with eyes floating underwater","1","reaches its head out towards Mario",1,"shine the light from a shell in its eyes","usually floats in groups of other Snoodles",74
3037,"N","Cheep Cheep","fish minion with a face and can be different colors","1","Runs into Mario",1,"","swims around in predictable patterns",84
3038,"N","Porcupuffer","spiky fish that rushes at Mario for half a second","??","Charges at Mario",1,"","",24
3039,"N","Skeeter","purple frog enemey with long legs","1","Swims at Mario",1,"","sees Mario then rushes straight at him really fast in the water",61
